#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
12.8%	32000	100128.00001856375	-232905.75606294977	43893.283412175566	-189012.4726507742	303.39026525009604	171.04760405540313	1.0138304666787985	314	34.100499391555786	3:59
13.2%	33000	100132.00001856456	-231685.91952861985	43382.34244965661	-188303.57707896325	299.85864259407106	171.04760405540313	1.0138304666787985	314	35.21250867843628	3:58
13.6%	34000	100136.00001856538	-231803.86792608968	43049.20717575304	-188754.66075033662	297.55601241339673	171.04760405540313	1.0138304666787985	314	36.309722900390625	3:57
14.0%	35000	100140.00001856619	-231984.8875850453	43246.05038912574	-188738.83719591956	298.91659221229276	171.31066433103305	1.0122736545384217	314	37.42102289199829	3:56
14.4%	36000	100144.000018567	-232019.71041529335	43119.11275497182	-188900.5976603215	298.0391996022541	171.31066433103305	1.0122736545384217	314	38.512537240982056	3:55
14.8%	37000	100148.00001856782	-232236.5388285137	43214.081386172955	-189022.45744234073	298.6956225437777	171.31066433103305	1.0122736545384217	314	39.60302186012268	3:54
15.2%	38000	100152.00001856864	-231446.39057597687	42830.95922069241	-188615.43135528447	296.0474830934469	171.31066433103305	1.0122736545384217	314	40.711283683776855	3:53
15.6%	39000	100156.00001856945	-231692.41189287184	43197.00230528372	-188495.4095875881	298.5775719793541	171.27974304722426	1.012456401198402	314	41.792722940444946	3:52
16.0%	40000	100160.00001857027	-232374.84919908294	42702.9172923897	-189671.93190669324	295.16245760501147	171.27974304722426	1.012456401198402	314	42.89625358581543	3:50
16.4%	41000	100164.00001857108	-232732.6142462429	43349.47447032534	-189383.13977591757	299.6314592030745	171.27974304722426	1.012456401198402	314	44.015807151794434	3:49
16.8%	42000	100168.0000185719	-232507.5416042111	43642.85211696794	-188864.68948724316	301.6592847634804	171.27974304722426	1.012456401198402	314	45.11455965042114	3:48
17.2%	43000	100172.00001857271	-232373.7001296312	43691.434509777355	-188682.26561985386	301.99508614116553	171.27974304722426	1.012456401198402	314	46.19047665596008	3:47
17.6%	44000	100176.00001857353	-231935.62426865962	43493.89237691435	-188441.73189174526	300.6296754124992	171.27974304722426	1.012456401198402	314	47.3058979511261	3:46
18.0%	45000	100180.00001857434	-231784.65419451793	43562.20800881281	-188222.44618570514	301.10187288945195	171.27974304722426	1.012456401198402	314	48.38448786735535	3:45
18.4%	46000	100184.00001857516	-231664.0418406101	43164.470846074895	-188499.5709945352	298.3527146146029	171.27974304722426	1.012456401198402	314	49.49494194984436	3:44
18.8%	47000	100188.00001857597	-232251.09020260663	42785.50083694335	-189465.5893656633	295.7332748585796	170.9129162077287	1.0146294153275814	314	50.572986364364624	3:43
19.2%	48000	100192.00001857679	-232123.95943797362	43099.847460547295	-189024.11197742634	297.90603793533813	170.9129162077287	1.0146294153275814	314	51.671486139297485	3:42
19.6%	49000	100196.0000185776	-232077.1546276186	44033.73253799232	-188043.42208962629	304.36104925674135	170.9129162077287	1.0146294153275814	314	52.77524662017822	3:40
20.0%	50000	100200.00001857842	-232273.75305672712	43592.169884439005	-188681.5831722881	301.3089692989017	170.9129162077287	1.0146294153275814	314	53.871851444244385	3:39
20.4%	51000	100204.00001857923	-232097.17190954072	42878.767638580335	-189218.40427096037	296.3779347584089	170.9129162077287	1.0146294153275814	314	54.97153615951538	3:38
20.8%	52000	100208.00001858005	-231580.28563514096	43127.35307899592	-188452.93255614504	298.096156701315	171.36765073787788	1.0119370341899054	314	56.085421562194824	3:37
21.2%	53000	100212.00001858086	-232006.36450774432	43200.40829290796	-188805.95621483636	298.6011141573008	171.36765073787788	1.0119370341899054	314	57.16928315162659	3:36
21.6%	54000	100216.00001858168	-232330.42965802306	43104.07867240589	-189226.35098561717	297.9352840611304	171.36765073787788	1.0119370341899054	314	58.267377853393555	3:35
22.0%	55000	100220.00001858249	-230857.81180586235	43402.05962830596	-187455.7521775564	299.9949276836196	171.36765073787788	1.0119370341899054	314	59.362632513046265	3:34
22.4%	56000	100224.0000185833	-232631.30899175856	43481.840660270725	-189149.46833148785	300.5463739771772	170.8366664611077	1.0150822761649858	314	60.46523880958557	3:33
22.8%	57000	100228.00001858412	-232328.17646205076	43791.61902787802	-188536.55743417275	302.68756127990355	170.8366664611077	1.0150822761649858	314	61.54227042198181	3:32
23.2%	58000	100232.00001858493	-232865.0616089772	42960.61260938445	-189904.44899959274	296.9436469920661	170.8366664611077	1.0150822761649858	314	62.66671562194824	3:31
23.6%	59000	100236.00001858575	-231981.11754046485	43464.06424195436	-188517.0532985105	300.4235034182	170.8366664611077	1.0150822761649858	314	63.74347734451294	3:29
24.0%	60000	100240.00001858656	-231811.0554109995	43078.12638410257	-188732.92902689695	297.7559019092359	170.8366664611077	1.0150822761649858	314	64.8572769165039	3:28
24.4%	61000	100244.00001858738	-231876.00758215605	42874.23683889145	-189001.77074326458	296.3466178822824	170.8366664611077	1.0150822761649858	314	65.95401906967163	3:27
24.8%	62000	100248.0000185882	-232617.34935650305	43532.958715260465	-189084.3906412426	300.8997018455158	171.46017615723343	1.0113909604569356	314	67.05493235588074	3:26
25.2%	63000	100252.00001858901	-231698.33966130193	43549.51636092369	-188148.82330037822	301.01414825096043	171.46017615723343	1.0113909604569356	314	68.16011214256287	3:25
25.6%	64000	100256.00001858982	-231145.1055944371	43303.623254541664	-187841.48233989545	299.31453571416574	171.46017615723343	1.0113909604569356	314	69.25426459312439	3:24
26.0%	65000	100260.00001859064	-232226.4086796125	44353.2482212828	-187873.16045832972	306.56954086113507	171.46017615723343	1.0113909604569356	314	70.3422338962555	3:23
26.4%	66000	100264.00001859145	-232486.46340508637	42972.61228475991	-189513.85112032646	297.02658871827254	171.36755396915962	1.011937605615753	314	71.45714044570923	3:22
26.8%	67000	100268.00001859227	-232309.4105703981	43222.521530296195	-189086.8890401019	298.7539607988645	171.36755396915962	1.011937605615753	314	72.53702330589294	3:21
27.2%	68000	100272.00001859308	-232086.75700416206	43094.22678926586	-188992.5302148962	297.86718786948757	171.36755396915962	1.011937605615753	314	73.64373779296875	3:20
27.6%	69000	100276.0000185939	-231959.25909346138	43335.87622480721	-188623.38286865418	299.5374681640369	171.36755396915962	1.011937605615753	314	74.74821639060974	3:18
28.0%	70000	100280.00001859471	-232286.62544005347	43802.91849327928	-188483.70694677418	302.76566315651826	171.36755396915962	1.011937605615753	314	75.84402513504028	3:17
28.4%	71000	100284.00001859553	-232016.86735190655	43809.31376703738	-188207.55358486917	302.80986727275166	171.36755396915962	1.011937605615753	314	76.96267509460449	3:16
28.8%	72000	100288.00001859634	-231383.84471303556	43692.054212731084	-187691.7905003045	301.999369526433	171.36755396915962	1.011937605615753	314	78.06103444099426	3:15
29.2%	73000	100292.00001859716	-232308.40323223948	43229.73449949445	-189078.66873274502	298.80381682393676	171.36755396915962	1.011937605615753	314	79.15650868415833	3:14
29.6%	74000	100296.00001859797	-232084.809846989	43413.13586764778	-188671.67397934123	300.0714866222694	171.36755396915962	1.011937605615753	314	80.26826572418213	3:13
