#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
38.8%	970000	1939.999999967949	-4817667.586026169	180984.22478395057	-4636683.361242219	300.6128041000985	518.6840103220268	1.212202442690333	93.9	1775.3646574020386	46:54
39.0%	975000	1949.9999999677125	-4817757.169647584	181930.8553617229	-4635826.31428586	302.1851470640819	518.4361218822261	1.2127820530985547	93.9	1784.5848805904388	46:45
39.2%	980000	1959.999999967476	-4818494.460518615	180876.3190714105	-4637618.141447205	300.43357389998675	518.4361218822261	1.2127820530985547	93.9	1793.7197728157043	46:36
39.4%	985000	1969.9999999672395	-4818019.101025389	180686.97790250555	-4637332.123122883	300.11908030374076	518.2728861659402	1.213164032076079	93.9	1802.943478345871	46:27
39.6%	990000	1979.999999967003	-4817573.593432991	181134.3418486785	-4636439.251584312	300.86214689130037	518.1627654599301	1.2134218554640634	93.9	1812.1965870857239	46:18
39.8%	995000	1989.9999999667666	-4819604.335537492	180236.50914117834	-4639367.826396314	299.3708566524047	517.7060552848604	1.2144923125359581	93.9	1821.3229262828827	46:08
40.0%	1000000	1999.9999999665301	-4819334.66388799	180485.56055480128	-4638849.103333188	299.7845283075098	518.017898752152	1.2137611959188443	93.9	1831.533725976944	46:01
40.2%	1005000	2009.9999999662937	-4819254.157325183	180406.15206672403	-4638848.005258459	299.6526316833772	518.0602447789009	1.2136619835886429	93.9	1840.6940612792969	45:51
40.4%	1010000	2019.9999999660572	-4818083.380397933	179154.2239521152	-4638929.156445817	297.57319287309656	517.8676585099955	1.2141133240600757	93.9	1849.9510700702667	45:42
40.6%	1015000	2029.9999999658207	-4819957.663520637	182176.10923146288	-4637781.554289174	302.5925110406215	517.9089908364556	1.2140164303409908	93.9	1859.0862517356873	45:33
40.8%	1020000	2039.9999999655843	-4819447.025231394	180917.4505934561	-4638529.574637938	300.5018929051034	518.1998693513997	1.2133349726308271	93.9	1868.3420774936676	45:24
41.0%	1025000	2049.999999965348	-4818944.222217801	179782.42922960204	-4639161.792988199	298.6166349202762	518.0159281855541	1.2137658131461153	93.9	1877.5650324821472	45:15
41.2%	1030000	2059.9999999651113	-4820397.208544381	179891.5176721144	-4640505.690872267	298.79782962184595	518.2216747083235	1.213283918799161	93.9	1886.8201656341553	45:05
41.4%	1035000	2069.999999964875	-4818573.476665292	182301.98531825937	-4636271.491347033	302.8015898344568	518.357853830076	1.212965173867879	93.9	1895.9587662220001	44:56
41.6%	1040000	2079.9999999646384	-4819437.784525683	180771.82159057586	-4638665.962935107	300.26000473520133	518.2301359076916	1.2132641093816534	93.9	1905.2057423591614	44:47
41.8%	1045000	2089.999999964402	-4818588.826016055	180620.6875996914	-4637968.138416364	300.00897284085335	517.5712482517816	1.2148086402027345	93.9	1914.442369222641	44:38
42.0%	1050000	2099.9999999641655	-4819027.341162118	179849.62547519157	-4639177.715686927	298.728247144136	517.4955239096736	1.21498640132494	93.8	1924.5831944942474	44:30
42.2%	1055000	2109.999999963929	-4819838.141844735	180091.5468879188	-4639746.594956816	299.1300759462795	517.2268147616193	1.215617609822798	93.8	1933.7436645030975	44:21
42.4%	1060000	2119.9999999636925	-4820496.782818582	180483.9293304122	-4640012.85348817	299.781818861765	517.8841880868674	1.2140745725785997	93.8	1943.0015017986298	44:12
42.6%	1065000	2129.999999963456	-4820710.604771863	180705.14510214044	-4640005.459669722	300.1492558222502	517.5583333165339	1.2148389540319529	93.8	1952.2374906539917	44:02
42.8%	1070000	2139.9999999632196	-4820270.331059813	180675.74446043276	-4639594.58659938	300.1004216801771	517.466790273069	1.215053866480949	93.8	1961.492588043213	43:53
43.0%	1075000	2149.999999962983	-4821455.42780752	179573.2321690837	-4641882.195638437	298.26916090674285	517.5409026211937	1.2148798696148329	93.8	1970.608840227127	43:44
43.2%	1080000	2159.9999999627466	-4819801.324376088	181418.1142523936	-4638383.210123694	301.33348972854964	517.4670536598375	1.2150532480278338	93.8	1979.8535916805267	43:35
43.4%	1085000	2169.99999996251	-4820931.3547577765	180103.95745025008	-4640827.397307526	299.15068975362817	517.3307314308113	1.215373427667459	93.8	1989.0819118022919	43:26
43.6%	1090000	2179.9999999622737	-4820992.981685128	179677.44117660585	-4641315.540508523	298.44225092053335	516.9177122354552	1.216344515605192	93.8	1998.3499639034271	43:16
43.8%	1095000	2189.9999999620372	-4820373.0232522115	181443.69793632987	-4638929.3253158815	301.37598394580243	516.7928162747401	1.2166384757997863	93.8	2007.4734449386597	43:07
44.0%	1100000	2199.9999999618008	-4820244.931244992	181317.67417385514	-4638927.2570711365	301.166659864292	517.0972627154734	1.2159221671276588	93.8	2017.5704145431519	42:59
44.2%	1105000	2209.9999999615643	-4820850.631629057	180859.6854744619	-4639990.946154595	300.40594567864895	516.7253625224391	1.2167972967835015	93.8	2026.8393204212189	42:50
44.4%	1110000	2219.999999961328	-4820919.970535644	181062.92798987616	-4639857.042545768	300.7435292583448	516.7253625224391	1.2167972967835015	93.8	2036.1194734573364	42:41
44.6%	1115000	2229.9999999610914	-4821339.008729025	179608.98828501758	-4641730.020444008	298.3285514215097	516.4146632626141	1.2175293790545183	93.8	2045.2561898231506	42:31
44.8%	1120000	2239.999999960855	-4821024.218648596	182171.89168557688	-4638852.326963019	302.58550574335476	516.5029397519095	1.2173212888174163	93.8	2054.573603630066	42:22
45.0%	1125000	2249.9999999606184	-4821785.347431139	180263.2661315749	-4641522.081299564	299.4152997187658	516.3696587247423	1.21763549362985	93.8	2063.8737914562225	42:13
45.2%	1130000	2259.999999960382	-4820672.820006808	179692.74226168112	-4640980.0777451275	298.46766585432516	516.3696587247423	1.21763549362985	93.8	2073.024380683899	42:04
45.4%	1135000	2269.9999999601455	-4821745.257563926	180501.79375643336	-4641243.4638074925	299.8114914766366	516.3318988906245	1.2177245404510018	93.8	2082.259796857834	41:55
45.6%	1140000	2279.999999959909	-4821930.062600561	182585.67046397825	-4639344.392136583	303.27278773713533	516.6033622391325	1.2170846538271936	93.8	2091.528610229492	41:46
45.8%	1145000	2289.9999999596726	-4822243.100374554	181347.12016890637	-4640895.980205648	301.21556933776924	517.0175778187815	1.2161095701027795	93.8	2100.654862642288	41:36
46.0%	1150000	2299.999999959436	-4821613.462623858	179747.8161503717	-4641865.646473486	298.5591429768851	517.1010332338975	1.2159133010519043	93.7	2110.8998506069183	41:28
46.2%	1155000	2309.9999999591996	-4822675.0617143735	182094.39949842493	-4640580.662215949	302.456792073954	516.2430002588259	1.2179342363606787	93.7	2120.063976049423	41:19
46.4%	1160000	2319.999999958963	-4821885.149960031	179667.52992684182	-4642217.620033189	298.42578844383263	515.9731585515503	1.2185711870396858	93.7	2129.330688714981	41:10
46.6%	1165000	2329.9999999587267	-4820691.013627109	180918.95521138347	-4639772.058415726	300.5043920589096	515.8754129321541	1.2188020761118723	93.7	2138.454802751541	41:01
46.8%	1170000	2339.99999995849	-4822177.401698382	180195.90048223775	-4641981.501216144	299.303406117147	516.187337748861	1.218065570997564	93.7	2147.714879989624	40:51
