#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
4.0%	100000	200.00000000022686	-333530.6325108466	9562.479503019304	-323968.1530078273	300.6798867836461	28.30400504923818	1.1644580197482288	538	30.536908388137817	12:51
4.2%	105000	210.0000000002746	-333704.2078200647	9570.723440988846	-324133.4843790758	300.9391068253257	28.30400504923818	1.1644580197482288	537	32.16609811782837	12:50
4.4%	110000	220.00000000032236	-334000.6346446397	9635.177031282428	-324365.4576133572	302.9657671937118	28.334310795989982	1.1632125414267802	537	33.78847599029541	12:49
4.6%	115000	230.0000000003701	-334180.8480455639	9476.608663815305	-324704.2393817486	297.97978852966054	28.128382838058588	1.171728423220457	537	35.41040563583374	12:47
4.8%	120000	240.00000000041786	-334298.1744762556	9621.998236247395	-324676.1762400082	302.5513769094945	28.134023519228258	1.1714934996074764	537	37.03178548812866	12:46
5.0%	125000	250.0000000004656	-334134.42257299245	9544.936060183745	-324589.4865128087	300.1282557549024	28.146507088282945	1.1709739175522824	536	38.658461570739746	12:45
5.2%	130000	260.00000000051335	-334198.1176190033	9491.26133389959	-324706.8562851037	298.44052292188906	28.170579049474444	1.1699733119683473	536	40.27951645851135	12:43
5.4%	135000	270.0000000005611	-334025.3406557187	9587.678074039366	-324437.66258167935	301.47222348659324	27.997472426571914	1.177207183863466	536	41.90462327003479	12:42
5.6%	140000	280.00000000060885	-334282.20879272855	9542.760501728488	-324739.44829100004	300.05984811336845	27.931053468532536	1.1800065367284327	536	43.53881573677063	12:41
5.8%	145000	290.0000000006566	-334172.7804167923	9673.002398572844	-324499.77801821945	304.1551372886586	27.97190695443694	1.178283115422411	536	45.162858724594116	12:39
6.0%	150000	300.00000000070435	-334288.94855078333	9529.49022825082	-324759.45832253253	299.6425814070091	27.97190695443694	1.178283115422411	535	46.83321475982666	12:39
6.2%	155000	310.0000000007521	-334481.98728189484	9613.805363652784	-324868.1819182421	302.2937625529458	27.92301554503855	1.1803462135892406	535	48.47056794166565	12:37
6.4%	160000	320.00000000079984	-334178.0481678031	9567.056437326939	-324610.99173047615	300.82380260474685	27.92301554503855	1.1803462135892406	535	50.09575009346008	12:36
6.6%	165000	330.0000000008476	-334908.0009996829	9351.861677535502	-325556.13932214736	294.05727975990385	27.92301554503855	1.1803462135892406	535	51.723708152770996	12:34
6.8%	170000	340.00000000089534	-334856.0080720928	9512.607904310014	-325343.4001677828	299.1117384128293	27.80230913172495	1.1854708008037633	534	53.35274386405945	12:33
7.0%	175000	350.0000000009431	-334952.18513318175	9433.290812817439	-325518.8943203643	296.6177143385852	27.830018509333033	1.1842904689239333	534	54.9765944480896	12:31
7.2%	180000	360.00000000099084	-334770.4231160384	9654.79552726663	-325115.62758877175	303.582645603703	27.678498606184576	1.1907736087684804	534	56.604164123535156	12:30
7.4%	185000	370.0000000010386	-334961.17899967113	9630.331631833351	-325330.8473678378	302.813409831031	27.678498606184576	1.1907736087684804	534	58.22801923751831	12:28
7.6%	190000	380.00000000108633	-335097.57650898176	9352.034796891488	-325745.54171209026	294.0627232757139	27.577871740380512	1.195118534920164	534	59.859405279159546	12:27
7.8%	195000	390.0000000011341	-335034.39611909323	9536.138756421178	-325498.25736267207	299.85163583655435	27.577871740380512	1.195118534920164	534	61.48341989517212	12:25
8.0%	200000	400.00000000118183	-335280.30840614525	9908.666800483097	-325371.6416056622	311.5653017405601	27.523057687897165	1.197498695251178	533	63.16331958770752	12:25
8.2%	205000	410.0000000012296	-334918.91725112154	9489.52609323721	-325429.3911578843	298.3859605078476	27.523057687897165	1.197498695251178	533	64.80322170257568	12:23
8.4%	210000	420.00000000127733	-335076.63490463747	9352.957532684859	-325723.6773719526	294.0917375176575	27.512105400891468	1.1979754072006354	533	66.42829895019531	12:22
8.6%	215000	430.0000000013251	-335246.4066118124	9420.039002362559	-325826.36760944984	296.20102817826523	27.512105400891468	1.1979754072006354	533	68.05571842193604	12:20
8.8%	220000	440.0000000013728	-335212.4660367633	9631.512469272466	-325580.9535674908	302.8505397477425	27.512105400891468	1.1979754072006354	533	69.67935180664062	12:18
9.0%	225000	450.0000000014206	-335241.384682721	9585.041476499633	-325656.34320622135	301.38931906316515	27.512105400891468	1.1979754072006354	533	71.30728125572205	12:17
9.2%	230000	460.0000000014683	-335178.17155187187	9161.418617628748	-326016.7529342431	288.06904232907704	27.512105400891468	1.1979754072006354	533	72.93372416496277	12:15
9.4%	235000	470.00000000151607	-335318.2867950315	9463.777922719346	-325854.50887231214	297.5763423545482	27.513468535277443	1.1979160543978795	533	74.56306433677673	12:14
9.6%	240000	480.0000000015638	-335092.3126671984	9581.563995542103	-325510.7486716563	301.2799741406194	27.513468535277443	1.1979160543978795	533	76.19261646270752	12:12
9.8%	245000	490.00000000161157	-335363.1343764388	9455.128735223067	-325908.0056412157	297.3043797619664	27.531887487159395	1.1971146433731228	533	77.82269597053528	12:11
10.0%	250000	500.0000000016593	-335461.87923647126	9492.457763160113	-325969.42147331114	298.47814310340004	27.489918512578384	1.1989422833501309	533	79.49669528007507	12:10
10.2%	255000	510.00000000170706	-335249.4721629231	9651.92364393771	-325597.5485189854	303.49234292081377	27.489918512578384	1.1989422833501309	532	81.13592410087585	12:08
