zinc_id,gene_name,gene_name,affinity
ZINC000028370972,POL,POL,10.30
ZINC000028388254,POL,POL,10.30
ZINC000028388261,POL,POL,10.30
ZINC000028388269,POL,POL,10.30
ZINC000028388275,POL,POL,10.30
ZINC000028391869,POL,POL,10.30
ZINC000028391876,POL,POL,10.30
ZINC000028391883,POL,POL,10.30
ZINC000028391890,POL,POL,10.30
ZINC000028468361,POL,POL,10.30
ZINC000028468364,POL,POL,10.30
ZINC000029241810,POL,POL,10.30
ZINC000036124621,POL,POL,10.30
ZINC000095548339,POL,POL,10.30
ZINC000095549250,POL,POL,10.30
ZINC000095606511,POL,POL,10.30
ZINC000095606512,POL,POL,10.30
ZINC000095606783,POL,POL,10.30
ZINC000095608161,POL,POL,10.30
ZINC000095611232,POL,POL,10.30
ZINC000095611432,POL,POL,10.30
ZINC000095612425,POL,POL,10.30
ZINC000095612426,POL,POL,10.30
ZINC000095612564,POL,POL,10.30
ZINC000101620224,POL,POL,10.30
ZINC000101620232,POL,POL,10.30
ZINC000169357037,POL,POL,10.30
ZINC000254093178,POL,POL,10.30
ZINC000254093183,POL,POL,10.30
ZINC000299808471,POL,POL,10.30
ZINC000299808473,POL,POL,10.30
ZINC000299812117,POL,POL,10.30
ZINC000299812118,POL,POL,10.30
ZINC000299812119,POL,POL,10.30
ZINC000026492081,POL,POL,10.29
ZINC000026167582,POL,POL,10.28
ZINC000026168571,POL,POL,10.28
ZINC000026577398,POL,POL,10.28
ZINC000027407516,POL,POL,10.28
ZINC000026386685,POL,POL,10.27
ZINC000026395605,POL,POL,10.27
ZINC000026480142,POL,POL,10.27
ZINC000027620858,POL,POL,10.27
ZINC000027620864,POL,POL,10.27
ZINC000027620869,POL,POL,10.27
ZINC000027620875,POL,POL,10.27
ZINC000003833859,POL,POL,10.24
ZINC000026950270,POL,POL,10.24
ZINC000028770494,POL,POL,10.24
ZINC000026481660,POL,POL,10.23
ZINC000026487485,POL,POL,10.23
ZINC000095614972,POL,POL,10.23
ZINC000150597427,POL,POL,10.23
ZINC000003923214,POL,POL,10.22
ZINC000014908079,POL,POL,10.22
ZINC000014908098,POL,POL,10.22
ZINC000014943306,POL,POL,10.22
ZINC000014943326,POL,POL,10.22
ZINC000026382023,POL,POL,10.22
ZINC000026667538,POL,POL,10.22
ZINC000027093568,POL,POL,10.22
ZINC000027096924,POL,POL,10.22
ZINC000027103319,POL,POL,10.22
ZINC000027320294,POL,POL,10.22
ZINC000027438017,POL,POL,10.22
ZINC000027438023,POL,POL,10.22
ZINC000027438029,POL,POL,10.22
ZINC000027438037,POL,POL,10.22
ZINC000028349334,POL,POL,10.22
ZINC000028349342,POL,POL,10.22
ZINC000028388946,POL,POL,10.22
ZINC000028388952,POL,POL,10.22
ZINC000028388959,POL,POL,10.22
ZINC000049720449,POL,POL,10.22
ZINC000095543463,POL,POL,10.22
ZINC000100769676,POL,POL,10.22
ZINC000013745793,POL,POL,10.21
ZINC000026375638,POL,POL,10.21
ZINC000027657645,POL,POL,10.21
ZINC000095543086,POL,POL,10.21
ZINC000026491053,POL,POL,10.20
ZINC000026576780,POL,POL,10.20
ZINC000027331698,POL,POL,10.19
ZINC000027331702,POL,POL,10.19
ZINC000095544685,POL,POL,10.19
ZINC000014951327,POL,POL,10.18
ZINC000026295190,POL,POL,10.17
ZINC000026377284,POL,POL,10.17
ZINC000026377643,POL,POL,10.17
ZINC000026818563,POL,POL,10.17
ZINC000026577399,POL,POL,10.16
ZINC000027327102,POL,POL,10.16
ZINC000095608162,POL,POL,10.16
ZINC000100987787,POL,POL,10.16
ZINC000100987790,POL,POL,10.16
ZINC000003976384,POL,POL,10.15
ZINC000014908121,POL,POL,10.15
ZINC000014951407,POL,POL,10.15
ZINC000022448696,POL,POL,10.15
ZINC000026480159,POL,POL,10.15
ZINC000026575805,POL,POL,10.15
ZINC000026716254,POL,POL,10.15
ZINC000026989733,POL,POL,10.15
ZINC000027181693,POL,POL,10.15
ZINC000028354457,POL,POL,10.15
ZINC000028354470,POL,POL,10.15
ZINC000028366529,POL,POL,10.15
ZINC000028366536,POL,POL,10.15
ZINC000029412252,POL,POL,10.15
ZINC000029412255,POL,POL,10.15
ZINC000029461989,POL,POL,10.15
ZINC000029485874,POL,POL,10.15
ZINC000038146834,POL,POL,10.15
ZINC000058608563,POL,POL,10.15
ZINC000095542576,POL,POL,10.15
ZINC000095610293,POL,POL,10.15
ZINC000150363939,POL,POL,10.15
ZINC000150571700,POL,POL,10.15
ZINC000253756964,POL,POL,10.15
ZINC000253756974,POL,POL,10.15
ZINC000299806478,POL,POL,10.15
ZINC000299806479,POL,POL,10.15
ZINC000299806480,POL,POL,10.15
ZINC000026477189,POL,POL,10.14
ZINC000027656334,POL,POL,10.14
ZINC000049780075,POL,POL,10.14
ZINC000029556708,POL,POL,10.13
ZINC000013759634,POL,POL,10.12
ZINC000013759636,POL,POL,10.12
ZINC000026490415,POL,POL,10.12
ZINC000026575679,POL,POL,10.12
ZINC000027406780,POL,POL,10.12
ZINC000027890537,POL,POL,10.11
ZINC000013761673,POL,POL,10.10
ZINC000014943321,POL,POL,10.10
ZINC000014951322,POL,POL,10.10
ZINC000026576642,POL,POL,10.10
ZINC000026576644,POL,POL,10.10
ZINC000028388921,POL,POL,10.10
ZINC000028388929,POL,POL,10.10
ZINC000029234924,POL,POL,10.10
ZINC000029406087,POL,POL,10.10
ZINC000029406090,POL,POL,10.10
ZINC000029461986,POL,POL,10.10
ZINC000049780123,POL,POL,10.10
ZINC000084409967,POL,POL,10.10
ZINC000095546490,POL,POL,10.10
ZINC000095606781,POL,POL,10.10
ZINC000095608802,POL,POL,10.10
ZINC000299807878,POL,POL,10.10
ZINC000299807879,POL,POL,10.10
ZINC000026483575,POL,POL,10.09
ZINC000028770184,POL,POL,10.09
ZINC000013761719,POL,POL,10.07
ZINC000013761720,POL,POL,10.07
ZINC000049942468,POL,POL,10.07
ZINC000150351258,POL,POL,10.07
ZINC000014943289,POL,POL,10.06
ZINC000028125020,POL,POL,10.06
ZINC000029480776,POL,POL,10.06
ZINC000006147299,POL,POL,10.05
ZINC000014946338,POL,POL,10.05
ZINC000026667457,POL,POL,10.05
ZINC000026731168,POL,POL,10.05
ZINC000026969025,POL,POL,10.05
ZINC000027107092,POL,POL,10.05
ZINC000027768452,POL,POL,10.05
ZINC000028382932,POL,POL,10.05
ZINC000028382939,POL,POL,10.05
ZINC000028465679,POL,POL,10.05
ZINC000029406083,POL,POL,10.05
ZINC000038146877,POL,POL,10.05
ZINC000095548317,POL,POL,10.05
ZINC000095608075,POL,POL,10.05
ZINC000027657308,POL,POL,10.03
ZINC000026575590,POL,POL,10.02
ZINC000027407525,POL,POL,10.02
ZINC000003925377,POL,POL,10.00
ZINC000003929684,POL,POL,10.00
ZINC000013761715,POL,POL,10.00
